meta player id=0 name="Player\" Test"
meta player id=1 name="Player"
meta player id=3 name="Player"
meta player id=4 name="Player"
meta player id=5 name="Player"
meta player id=6 name="Player"
meta player id=7 name="Player"
meta player id=8 name="Player"
meta player id=9 name="Player"
meta player id=10 name="Player"
meta player id=11 name="Player"
meta player id=12 name="Player"
meta player id=13 name="Player"
meta player id=14 name="Player"
meta player id=15 name="Player"
meta player id=16 name="Player"
meta player id=17 name="Player"
meta player id=18 name="Player"
meta keys c=cities T=tank_kd g=gold B=bonus t=tank_kills i=income b=bounty d=deaths a=ss_deaths S=ss_kd K=kd n=denies s=ss_kills G=gold_earned k=kills A=tank_deaths
player 4 i=4 c=11 g=8 G=8 b=0 B=0 n=0 k=0 d=1 K=-1.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=4 c=11 g=4 G=8 b=0 B=0 n=0 k=2 d=3 K=0.67 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 13 i=4 c=11 g=4 G=8 b=0 B=0 n=0 k=2 d=3 K=0.67 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 18 i=4 c=11 g=8 G=8 b=0 B=0 n=0 k=1 d=1 K=1.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=4 c=13 g=4 G=8 b=0 B=0 n=0 k=1 d=2 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 10 i=4 c=9 g=4 G=8 b=0 B=0 n=0 k=0 d=7 K=-7.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=4 c=8 g=8 G=8 b=0 B=0 n=0 k=2 d=4 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=4 c=14 g=4 G=8 b=0 B=0 n=0 k=2 d=0 K=2.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=2
player 0 i=18 c=19 g=20 G=33 b=2 B=0 n=0 k=11 d=4 K=2.75 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 14 i=15 c=18 g=15 G=32 b=4 B=0 n=0 k=16 d=4 K=4.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=13 c=14 g=13 G=24 b=1 B=0 n=0 k=6 d=5 K=1.20 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=12 c=14 g=12 G=21 b=1 B=0 n=0 k=6 d=3 K=2.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 13 i=12 c=15 g=12 G=21 b=1 B=0 n=0 k=7 d=3 K=2.33 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=11 c=14 g=11 G=22 b=1 B=0 n=0 k=6 d=5 K=1.20 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=11 c=13 g=12 G=24 b=2 B=0 n=0 k=8 d=9 K=0.89 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=11 c=15 g=12 G=24 b=1 B=0 n=0 k=7 d=3 K=2.33 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=11 c=15 g=11 G=23 b=2 B=0 n=0 k=9 d=4 K=2.25 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=11 c=13 g=11 G=24 b=1 B=0 n=0 k=6 d=8 K=0.75 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 1 i=10 c=10 g=10 G=21 b=1 B=0 n=0 k=4 d=12 K=0.33 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=7 c=12 g=9 G=15 b=0 B=0 n=0 k=3 d=5 K=0.60 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 4 i=7 c=12 g=7 G=15 b=0 B=0 n=0 k=2 d=2 K=1.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=6 c=7 g=6 G=15 b=1 B=0 n=0 k=6 d=12 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 18 i=4 c=10 g=12 G=12 b=0 B=0 n=0 k=2 d=2 K=1.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 10 i=4 c=7 g=4 G=12 b=0 B=0 n=0 k=3 d=12 K=0.25 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=4 c=7 g=12 G=12 b=0 B=0 n=0 k=2 d=5 K=0.40 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=0 c=9 g=1 G=13 b=3 B=0 n=0 k=12 d=11 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=3
player 14 i=29 c=28 g=30 G=65 b=8 B=0 n=0 k=33 d=14 K=2.36 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=20 c=20 g=21 G=55 b=4 B=0 n=0 k=18 d=14 K=1.29 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 13 i=17 c=19 g=17 G=41 b=4 B=0 n=1 k=19 d=15 K=1.27 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=17 c=16 g=17 G=39 b=2 B=0 n=0 k=11 d=9 K=1.22 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=16 c=14 g=19 G=41 b=3 B=0 n=0 k=12 d=13 K=0.92 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=15 c=13 g=19 G=39 b=3 B=0 n=0 k=13 d=12 K=1.08 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=15 c=18 g=15 G=43 b=5 B=0 n=0 k=20 d=13 K=1.54 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=15 c=17 g=18 G=41 b=3 B=0 n=0 k=14 d=5 K=2.80 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=14 c=19 g=15 G=39 b=4 B=0 n=0 k=18 d=10 K=1.80 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 4 i=12 c=13 g=13 G=28 b=1 B=0 n=0 k=7 d=5 K=1.40 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 1 i=12 c=12 g=12 G=33 b=1 B=0 n=0 k=6 d=17 K=0.35 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=11 c=10 g=11 G=37 b=3 B=0 n=0 k=15 d=22 K=0.68 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=10 c=7 g=13 G=26 b=2 B=0 n=0 k=10 d=14 K=0.71 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=7 c=7 g=11 G=23 b=1 B=0 n=0 k=6 d=10 K=0.60 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=4 c=4 g=17 G=17 b=1 B=0 n=0 k=4 d=8 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 18 i=4 c=5 g=18 G=18 b=2 B=0 n=0 k=9 d=7 K=1.29 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 10 i=4 c=2 g=4 G=17 b=1 B=0 n=0 k=7 d=22 K=0.32 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=0 c=2 g=1 G=13 b=3 B=0 n=0 k=12 d=11 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=4
player 14 i=43 c=40 g=60 G=113 b=13 B=0 n=0 k=52 d=23 K=2.26 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=24 c=21 g=25 G=80 b=5 B=0 n=0 k=23 d=16 K=1.44 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 13 i=24 c=24 g=24 G=67 b=6 B=0 n=1 k=26 d=25 K=1.04 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=21 c=19 g=24 G=61 b=5 B=0 n=0 k=21 d=12 K=1.75 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=21 c=20 g=21 G=62 b=5 B=0 n=0 k=23 d=19 K=1.21 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=17 c=15 g=18 G=58 b=4 B=0 n=0 k=16 d=13 K=1.23 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=17 c=16 g=17 G=65 b=10 B=0 n=0 k=40 d=42 K=0.95 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=16 c=16 g=34 G=58 b=4 B=0 n=0 k=16 d=16 K=1.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=15 c=13 g=22 G=58 b=5 B=0 n=0 k=23 d=15 K=1.53 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 1 i=13 c=14 g=13 G=48 b=3 B=0 n=0 k=13 d=23 K=0.57 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 4 i=12 c=9 g=16 G=41 b=2 B=0 n=0 k=8 d=9 K=0.89 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=10 c=7 g=12 G=36 b=2 B=0 n=0 k=11 d=15 K=0.73 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=10 c=7 g=11 G=53 b=9 B=0 n=0 k=39 d=44 K=0.89 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=7 c=4 g=19 G=31 b=2 B=0 n=0 k=8 d=13 K=0.62 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=4 c=1 g=21 G=21 b=1 B=0 n=0 k=5 d=11 K=0.45 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 10 i=4 c=2 g=4 G=22 b=2 B=0 n=0 k=8 d=24 K=0.33 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 18 i=1 c=0 g=19 G=19 b=3 B=0 n=0 k=13 d=12 K=1.08 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=0 c=0 g=1 G=13 b=3 B=0 n=0 k=12 d=11 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=5
player 14 i=43 c=41 g=66 G=158 b=15 B=0 n=0 k=61 d=27 K=2.26 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 13 i=32 c=29 g=32 G=101 b=8 B=0 n=1 k=35 d=30 K=1.17 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=28 c=26 g=43 G=120 b=17 B=0 n=0 k=69 d=18 K=3.83 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=24 c=24 g=25 G=89 b=8 B=0 n=0 k=35 d=33 K=1.06 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=21 c=18 g=22 G=83 b=6 B=0 n=0 k=27 d=14 K=1.93 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=17 c=15 g=19 G=83 b=11 B=0 n=0 k=47 d=44 K=1.07 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=17 c=16 g=18 G=78 b=7 B=0 n=0 k=29 d=22 K=1.32 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=14 c=12 g=41 G=73 b=5 B=0 n=0 k=20 d=28 K=0.71 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=10 c=6 g=11 G=48 b=4 B=0 n=0 k=16 d=18 K=0.89 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=10 c=7 g=10 G=64 b=10 B=0 n=0 k=40 d=51 K=0.78 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 1 i=10 c=11 g=10 G=60 b=5 B=0 n=0 k=22 d=37 K=0.59 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=9 c=8 g=9 G=68 b=6 B=0 n=0 k=25 d=61 K=0.41 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 4 i=9 c=7 g=20 G=50 b=2 B=0 n=0 k=9 d=14 K=0.64 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=7 c=3 g=26 G=38 b=2 B=0 n=0 k=8 d=14 K=0.57 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=6 c=2 g=21 G=27 b=1 B=0 n=0 k=6 d=12 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 10 i=4 c=5 g=4 G=26 b=2 B=0 n=0 k=11 d=25 K=0.44 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=0 c=0 g=1 G=13 b=3 B=0 n=0 k=12 d=11 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=6
player 14 i=52 c=49 g=76 G=217 b=22 B=0 n=0 k=89 d=40 K=2.23 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=37 c=33 g=56 G=167 b=27 B=0 n=0 k=111 d=37 K=3.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 13 i=30 c=33 g=30 G=139 b=16 B=0 n=1 k=64 d=41 K=1.56 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=24 c=20 g=31 G=108 b=7 B=0 n=0 k=29 d=14 K=2.07 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=22 c=19 g=23 G=102 b=9 B=0 n=0 k=39 d=36 K=1.08 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=17 c=16 g=20 G=104 b=15 B=0 n=0 k=61 d=56 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=17 c=20 g=18 G=109 b=11 B=0 n=0 k=46 d=62 K=0.74 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=12 c=8 g=24 G=61 b=5 B=0 n=0 k=22 d=18 K=1.22 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=9 c=9 g=33 G=83 b=6 B=0 n=0 k=27 d=40 K=0.68 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 4 i=9 c=5 g=23 G=59 b=2 B=0 n=0 k=9 d=16 K=0.56 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=7 c=3 g=33 G=45 b=2 B=0 n=0 k=8 d=14 K=0.57 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=7 c=6 g=7 G=74 b=13 B=0 n=0 k=52 d=65 K=0.80 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 1 i=6 c=6 g=7 G=70 b=9 B=0 n=0 k=36 d=53 K=0.68 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=4 c=1 g=7 G=33 b=3 B=0 n=0 k=12 d=24 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 10 i=4 c=1 g=4 G=32 b=4 B=0 n=0 k=17 d=34 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=1 c=1 g=0 G=71 b=9 B=0 n=0 k=38 d=87 K=0.44 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=0 c=0 g=1 G=13 b=3 B=0 n=0 k=12 d=11 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=7
player 14 i=49 c=47 g=66 G=278 b=34 B=0 n=0 k=137 d=99 K=1.38 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 13 i=39 c=39 g=40 G=184 b=22 B=0 n=1 k=88 d=53 K=1.66 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=37 c=33 g=93 G=204 b=27 B=0 n=0 k=111 d=37 K=3.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=24 c=20 g=27 G=132 b=7 B=0 n=0 k=29 d=14 K=2.07 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=22 c=21 g=25 G=136 b=25 B=0 n=0 k=101 d=72 K=1.40 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=22 c=21 g=28 G=134 b=19 B=0 n=0 k=77 d=45 K=1.71 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=17 c=14 g=18 G=129 b=14 B=0 n=0 k=59 d=88 K=0.67 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=12 c=8 g=36 G=73 b=5 B=0 n=0 k=22 d=18 K=1.22 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 4 i=11 c=9 g=35 G=71 b=3 B=0 n=0 k=15 d=18 K=0.83 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=9 c=9 g=9 G=105 b=19 B=0 n=0 k=77 d=73 K=1.05 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=7 c=3 g=40 G=52 b=2 B=0 n=0 k=8 d=14 K=0.57 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 1 i=6 c=4 g=8 G=78 b=11 B=0 n=0 k=46 d=90 K=0.51 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 10 i=4 c=0 g=4 G=36 b=4 B=0 n=0 k=19 d=37 K=0.51 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=4 c=1 g=4 G=82 b=17 B=0 n=0 k=68 d=105 K=0.65 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=0 c=1 g=0 G=71 b=9 B=0 n=0 k=38 d=87 K=0.44 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=0 c=0 g=8 G=34 b=4 B=0 n=0 k=17 d=38 K=0.45 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=0 c=0 g=1 G=13 b=3 B=0 n=0 k=12 d=11 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=8
player 13 i=44 c=40 g=44 G=231 b=25 B=0 n=1 k=102 d=58 K=1.76 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=36 c=35 g=82 G=253 b=40 B=0 n=0 k=161 d=78 K=2.06 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 14 i=35 c=40 g=48 G=341 b=51 B=11 n=0 k=204 d=186 K=1.10 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=31 c=28 g=31 G=168 b=12 B=0 n=0 k=49 d=17 K=2.88 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=25 c=21 g=46 G=163 b=27 B=0 n=0 k=108 d=75 K=1.44 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=24 c=22 g=47 G=160 b=21 B=0 n=0 k=87 d=60 K=1.45 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=17 c=13 g=30 G=148 b=16 B=0 n=0 k=64 d=101 K=0.63 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=14 c=10 g=40 G=89 b=7 B=0 n=0 k=31 d=20 K=1.55 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 4 i=14 c=10 g=50 G=88 b=6 B=0 n=0 k=25 d=19 K=1.32 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=7 c=4 g=44 G=59 b=2 B=0 n=0 k=11 d=15 K=0.73 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 1 i=6 c=2 g=6 G=84 b=11 B=0 n=0 k=47 d=94 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=6 c=5 g=9 G=118 b=26 B=0 n=0 k=105 d=118 K=0.89 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 10 i=1 c=0 g=4 G=36 b=4 B=0 n=0 k=19 d=38 K=0.50 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=0 c=0 g=0 G=71 b=9 B=0 n=0 k=38 d=87 K=0.44 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=0 c=0 g=8 G=34 b=4 B=0 n=0 k=17 d=38 K=0.45 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=0 c=0 g=4 G=82 b=17 B=0 n=0 k=70 d=110 K=0.64 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=0 c=0 g=1 G=13 b=3 B=0 n=0 k=12 d=11 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=9
player 13 i=44 c=40 g=50 G=282 b=32 B=0 n=1 k=129 d=90 K=1.43 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 14 i=37 c=44 g=38 G=395 b=68 B=11 n=0 k=272 d=273 K=1.00 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=37 c=33 g=64 G=207 b=14 B=0 n=0 k=59 d=26 K=2.27 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=32 c=30 g=34 G=314 b=58 B=11 n=0 k=233 d=128 K=1.82 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 15 i=25 c=21 g=69 G=188 b=27 B=0 n=0 k=108 d=75 K=1.44 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 9 i=24 c=22 g=25 G=188 b=25 B=0 n=0 k=101 d=83 K=1.22 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 5 i=15 c=12 g=23 G=173 b=26 B=0 n=0 k=106 d=136 K=0.78 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 12 i=14 c=10 g=37 G=103 b=7 B=0 n=0 k=31 d=20 K=1.55 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 4 i=14 c=10 g=64 G=102 b=6 B=0 n=0 k=25 d=19 K=1.32 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 17 i=7 c=4 g=8 G=72 b=8 B=0 n=0 k=32 d=23 K=1.39 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 1 i=6 c=3 g=6 G=92 b=13 B=0 n=0 k=55 d=104 K=0.53 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 16 i=4 c=1 g=5 G=128 b=32 B=0 n=0 k=129 d=146 K=0.88 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 3 i=0 c=0 g=0 G=71 b=9 B=0 n=0 k=38 d=87 K=0.44 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 7 i=0 c=0 g=8 G=34 b=4 B=0 n=0 k=17 d=38 K=0.45 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 6 i=0 c=0 g=4 G=82 b=17 B=0 n=0 k=70 d=110 K=0.64 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 11 i=0 c=0 g=1 G=13 b=3 B=0 n=0 k=12 d=11 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
game turn=10
player 13 i=46 c=43 g=61 G=358 b=51 B=11 n=1 k=204 d=188 K=1.09 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 0 i=40 c=42 g=41 G=381 b=85 B=11 n=0 k=340 d=160 K=2.12 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 8 i=37 c=33 g=86 G=244 b=14 B=0 n=0 k=59 d=26 K=2.27 s=0 a=0 S=0.00 t=0 A=0 T=0.00
player 14 i=26 c=33 g=35 G=433 b=80 B=11 n=0 k=323 d=384 K=0.84 s=0 a=0 S=0.00 t=0 A=0 T=0.00
